ID,Tipo,SKU,Nombre,Publicado,"¿Es destacado?","Visibilidad en catálogo","Descripción corta",Descripción,"Fecha de inicio de oferta","Fecha de fin de oferta","Status de Impuesto","Clase de impuesto","¿En existencia?",Disponibilidad,"Cantidad de bajas existencias","¿Permitir sobre pedidos?","¿Vender individualmente?","Peso (kg)","Largo (cm)","Ancho (cm)","Alto (cm)","¿Permitir opiniones de los clientes?","Nota de compra","Precio de oferta:","Precio regular:",Categorías,Etiquetas,"Clase de Envío",Imágenes,"Límite de descarga","Caducidad en días de descarga",Padre,"Productos agrupados.","Productos-complementarios (Up-Sells)","Ventas Cruzadas","URL externa","Texto del botón",Posición,"Meta: _ecwid_product_id"
9,simple,,"Crash Bandicoot",1,0,visible,"<h6>El juego tiene veinticinco niveles normales, dos niveles secretos y seis batallas de jefe. Los seis jefes son el líder de la aldea, llamado <a title=""Papu Papu"" href=""https://es.wikipedia.org/wiki/Papu_Papu"">Papu Papu</a>, el <a class=""mw-redirect"" title=""Demente"" href=""https://es.wikipedia.org/wiki/Demente"">demente</a> <a title=""Ripper Roo"" href=""https://es.wikipedia.org/wiki/Ripper_Roo"">Ripper Roo</a>, el musculoso <a title=""Koala Kong"" href=""https://es.wikipedia.org/wiki/Koala_Kong"">Koala Kong</a>, el pistolero <a title=""Pinstripe Potoroo"" href=""https://es.wikipedia.org/wiki/Pinstripe_Potoroo"">Pinstripe Potoroo</a>, el doctor <a title=""Nitrus Brio"" href=""https://es.wikipedia.org/wiki/Nitrus_Brio"">Nitrus Brio</a> y, finalmente, el propio <a title=""Doctor Neo Cortex"" href=""https://es.wikipedia.org/wiki/Doctor_Neo_Cortex"">Doctor Neo Cortex</a>. El jugador debe seguir un camino en un ambiente limitado derrotando a enemigos, evitando hoyos y rompiendo cajas, que cada una contiene una distinta cantidad de fruta Wumpa</h6>",,,,taxable,,1,10,,0,0,,,,,1,,,600,"Marca activision",,,http://localhost/wordpress/wp-content/uploads/2019/04/crash.jpg,,,,,,,,,0,136383948
17,simple,,"Call of Duty",1,0,visible,"El juego es el sucesor espiritual del videojuego Medal of Honor Allied Assault <i> </i>que fue desarrollado por 2015 , que simula la infantería  y armas combinadas  de la segunda guerra mundial.",,,,taxable,,1,,,0,0,,,,,1,,,360,"Marca activision",,,http://localhost/wordpress/wp-content/uploads/2019/04/calll.jpg,,,,,,,,,0,136383948
19,simple,,Overwatch,1,0,visible,"<i>Overwatch</i> pone a los jugadores en equipos de seis personas, con cada persona escogiendo uno de varios héroes disponibles, cada uno con movimientos y habilidades únicas. Los héroes están divididos en tres clases: Daño, Tanque y Apoyo.",,,,taxable,,1,10,,0,0,,,,,1,,,850,"Marca Blizzard Entertaiment",,,http://localhost/wordpress/wp-content/uploads/2019/04/overwatch-1.jpg,,,,,,,,,0,136383948
21,simple,,Hearthstone,1,0,visible,"Es un juego de cartas coleccionable .  Está centrado en el universo de Warcraft.",,,,taxable,,1,10,,0,0,,,,,1,,,600,"Marca Blizzard Entertaiment, oferta",,,http://localhost/wordpress/wp-content/uploads/2019/04/heartshone-1.jpg,,,,,,,,,0,136383948
23,simple,,"Resident Evil",1,0,visible,"la saga principal de videojuegos, como en otros medios, la trama gira en torno al mismo conflicto: la amenaza bioterrorista. Un peligroso virus se ha propagado por error o intencionalmente por la Corporation Umbrella, este al infectar a los humanos, los transforma en seres amorfos y monstruos.",,,,taxable,,1,10,,0,0,,,,,1,,,,"Sin categorizar",,,http://localhost/wordpress/wp-content/uploads/2019/04/220px-Resident_Evil_7_cover_art.jpg,,,,,,,,,0,136383948
25,simple,,"Street Fighter",1,0,visible,"En el género de la lucha, esta serie fue la pionera en usar combinaciones de botones para ejecutar golpes especiales, como presionar dos botones a la vez o ejecutar movimientos diagonales con el control.",,,,taxable,,1,10,,0,0,,,,,1,,,345.50,"Marca Capcom",,,http://localhost/wordpress/wp-content/uploads/2019/04/street-fighter-characters-i30393.jpg,,,,,,,,,0,136383948
28,simple,,"Fifa 18",1,0,visible,"Es un videojuego de fútbol, desarrollado por Electronic Arts y publicado por EA Sports  Canadá y EA Sports Rumania. Es el 25.º de la serie de videojuegos de la FIFA .",,,,taxable,,1,10,,0,0,,,,,1,,,840,"Marca Electronic Arts",,,http://localhost/wordpress/wp-content/uploads/2019/04/fifaaaaa.png,,,,,,,,,0,136383948
30,simple,,"star wars battlefront",1,0,visible,"<span>es una serie de videojuegos de disparos en primera persona </span><span>basados ​​en las películas de Star wars. </span><span>Los jugadores asumen el papel de soldados en cualquiera de los dos ejércitos opuestos en diferentes períodos de tiempo del universo de</span><i><span> Star Wars</span></i><span> .</span>",,,,taxable,,1,,,0,0,,,,,1,,,559.5,"Marca Electronic Arts",,,http://localhost/wordpress/wp-content/uploads/2019/04/star-wars.jpg,,,,,,,,,0,136383948
32,simple,,"The legend of zelda",1,0,visible,"Su trama por lo general describe las heroicas aventuras del joven guerrero Link que debe enfrentarse a peligros y resolver acertijos para ayudar a la princesa Zelda  a derrotar a Ganondorf  y salvar su hogar, el reino de Hyrule",,,,taxable,,1,10,,0,0,,,,,1,,,320,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/zelda.jpg,,,,,,,,,0,136383948
34,simple,,"Super Mario Odyssey",1,0,visible,"es un videojuego de plataformas de mundo abierto para Nintendo que se lanzó en Japón y Estados Unidos",,,,taxable,,1,10,,0,0,,,,,1,,,520,"Marca Nintendo",,,http://localhost/wordpress/wp-content/uploads/2019/04/mariooooooooooooo.jpg,,,,,,,,,0,136383948
36,simple,,Manhunt,1,0,visible,"Es un videojuego de sigilo y  terror psicológico desarrollado por ￼￼Rockstar North",,,,taxable,,1,10,,0,0,,,,,1,,,345.90,"Marca Rockstar Games",,,http://localhost/wordpress/wp-content/uploads/2019/04/manhunttttt.jpg,,,,,,,,,0,136383948
